Country,Clicks,Impressions,CTR,Position
United States,2,198,1.01%,58.35
India,2,47,4.26%,54.04
Philippines,2,16,12.5%,49.31
United Kingdom,1,48,2.08%,58.77
Israel,1,9,11.11%,33.33
United Arab Emirates,1,7,14.29%,47
Austria,1,2,50%,1
Morocco,1,2,50%,18.5
Australia,0,30,0%,56.03
Spain,0,24,0%,68
Canada,0,23,0%,48.17
Germany,0,23,0%,60
Poland,0,13,0%,57.38
Pakistan,0,11,0%,58.09
Hong Kong,0,10,0%,54.9
Bangladesh,0,9,0%,60.33
Italy,0,9,0%,61.22
Czechia,0,8,0%,37.62
Indonesia,0,8,0%,53.25
France,0,8,0%,71.38
Brazil,0,7,0%,54.14
Netherlands,0,6,0%,52.33
Ireland,0,5,0%,60.6
Egypt,0,5,0%,64.4
Saudi Arabia,0,4,0%,55
Malaysia,0,4,0%,55.75
Ukraine,0,4,0%,64
Norway,0,4,0%,68.75
Sweden,0,4,0%,70.75
South Africa,0,3,0%,56.33
Switzerland,0,3,0%,63
Singapore,0,3,0%,64.67
Belgium,0,2,0%,38.5
Denmark,0,2,0%,65
Portugal,0,2,0%,72.5
Mexico,0,2,0%,76
Bahrain,0,1,0%,4
Hungary,0,1,0%,18
Jordan,0,1,0%,18
Turkey,0,1,0%,18
Finland,0,1,0%,20
Iran,0,1,0%,22
Nigeria,0,1,0%,26
Russia,0,1,0%,28
Palestine,0,1,0%,32
Romania,0,1,0%,49
New Zealand,0,1,0%,57
Oman,0,1,0%,57
South Korea,0,1,0%,79
Vietnam,0,1,0%,86
