No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"rock paper scissors",null,"301,000","$0.66","1","_"
2,"rps game online",null,"30","$0.00","1","_"
3,"play rock paper scissors",null,"1,000","$0.00","1","_"
4,"game without",null,"260","$1.40","3","_"
5,"name for rock paper scissors",null,"170","$0.00","1","_"
6,"rps game meaning",null,"140","$0.00","1","_"
7,"rpg games without download",null,"110","$1.43","28","_"
8,"in rock paper scissors who wins",null,"70","$0.00","1","_"
9,"is rock paper scissors 50/50",null,"70","$0.00","1","_"
10,"game without registration",null,"70","$0.00","4","_"
11,"rules to rock paper scissors lizard spock",null,"50","$0.00","19","_"
12,"want to play rock paper scissors",null,"50","$0.00","1","_"
13,"images for rock paper scissors game",null,"40","$0.00","1","_"
14,"rules to rock paper scissors",null,"40","$0.00","1","_"
15,"rps online game",null,"40","$0.00","1","_"
16,"is rock paper scissors book spicy",null,"30","$0.00","1","_"
17,"how to never lose in rock paper scissors",null,"30","$0.00","1","_"
18,"ascii for rock paper scissors",null,"20","$0.00","1","_"
19,"trick to rock paper scissors",null,"20","$0.00","1","_"
20,"japanese for rock paper scissors",null,"20","$0.00","1","_"
21,"is rock paper scissors a good book",null,"20","$0.00","1","_"
22,"strategy to rock paper scissors",null,"20","$0.00","3","_"
23,"is rock paper scissors book horror",null,"20","$0.00","1","_"
24,"how to play rock paper scissors sims 4",null,"20","$0.00","1","_"
25,"rules for rock paper scissors game",null,"10","$0.00","1","_"
26,"is rock paper scissors a game of luck",null,"10","$0.00","1","_"
27,"how to play rock paper scissors shoe",null,"10","$0.00","1","_"
28,"i will not play rock paper scissors with you",null,"10","$0.00","1","_"
29,"no limits rock paper scissors",null,"0","$0.00","1","_"
30,"tag with rock paper scissors",null,"0","$0.00","1","_"
31,"for rock paper scissors game",null,"0","$0.00","1","_"
32,"with rock paper scissors",null,"0","$0.00","1","_"
33,"movie with rock paper scissors",null,"0","$0.00","1","_"
34,"for rock paper scissors",null,"0","$0.00","1","_"
35,"how to rock paper scissors online",null,"0","$0.00","1","_"
36,"rock paper scissors girl with no hand",null,"0","$0.00","1","_"
37,"rock and paper scissors online",null,"0","$0.00","1","_"
38,"anime with rock paper scissors",null,"0","$0.00","1","_"
39,"rock paper scissors with megumi game online",null,"0","$0.00","1","_"
40,"rps game.org",null,"0","$0.00","1","_"
41,"rules for playing rock paper scissors",null,"0","$0.00","1","_"
42,"will you play rock paper scissors with me",null,"0","$0.00","1","_"
43,"i was playing rock paper scissors with imaginary friends",null,"0","$0.00","1","_"
44,"play rock paper scissors with aj or not",null,"0","$0.00","1","_"
45,"to play rock paper scissors",null,"0","$0.00","1","_"
46,"play rock paper scissors against ai",null,"0","$0.00","1","_"
47,"to play rock paper scissors shoot",null,"0","$0.00","1","_"
48,"play with me rock paper scissors",null,"0","$0.00","1","_"
49,"tips for playing rock paper scissors",null,"0","$0.00","1","_"
