No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"rock paper scissors",null,"301,000","$0.66","1","_"
2,"rps game online",null,"30","$0.00","1","_"
3,"play rock paper scissors",null,"1,000","$0.00","1","_"
4,"who made rock paper scissors",null,"2,400","$0.00","1","_"
5,"rps game",null,"1,600","$0.70","1","_"
6,"how to win rock paper scissors every time",null,"1,300","$0.00","1","_"
7,"rock paper scissors shoe",null,"720","$0.00","1","_"
8,"was ist fps",null,"480","$0.00","1","_"
9,"where did rock paper scissors come from",null,"320","$0.00","1","_"
10,"what beats rock paper scissors",null,"320","$0.00","1","_"
11,"games fps checker",null,"320","$0.00","1","_"
12,"rock paper scissors statistics",null,"320","$0.00","1","_"
13,"how to play rock paper scissors minus one",null,"320","$0.00","1","_"
14,"when did rock paper scissors start",null,"260","$0.00","1","_"
15,"rock paper scissors probability",null,"260","$0.00","1","_"
16,"why is rock paper scissors called rochambeau",null,"260","$0.00","1","_"
17,"where did rock paper scissors originate",null,"260","$0.00","1","_"
18,"how to play rock paper scissors lizard spock",null,"260","$0.00","1","_"
19,"how to play rock paper scissors shoot",null,"260","$0.00","1","_"
20,"in rock paper scissors what beats what",null,"170","$0.00","1","_"
21,"is rock paper scissors an evil game",null,"170","$0.00","1","_"
22,"how to play rock paper scissors with 2 players",null,"170","$0.00","1","_"
23,"where to watch rock paper scissors television show",null,"140","$0.00","1","_"
24,"what does rock paper scissors mean",null,"140","$0.00","1","_"
25,"how to play rock paper scissors in korean",null,"140","$0.00","1","_"
26,"rock paper scissors how to win",null,"140","$0.00","1","_"
27,"play rock paper scissors online",null,"140","$0.00","1","_"
28,"where does rock paper scissors come from",null,"110","$0.00","1","_"
29,"is rock paper scissors a game of chance",null,"110","$0.00","1","_"
30,"what is rock paper scissors book about",null,"110","$0.00","2","_"
31,"how rock paper scissors works",null,"110","$0.00","1","_"
32,"rps meaning gaming",null,"110","$0.00","1","_"
33,"how long has rock paper scissors been around",null,"90","$0.00","1","_"
34,"is rock paper scissors book scary",null,"90","$0.00","1","_"
35,"where was rock paper scissors invented",null,"90","$0.00","1","_"
36,"can we play rock paper scissors",null,"90","$0.00","1","_"
37,"when was rock paper scissors made",null,"70","$0.00","1","_"
38,"is rock paper scissors a sport",null,"70","$0.00","1","_"
39,"is rock paper scissors luck",null,"70","$0.00","1","_"
40,"where to watch rock paper scissors",null,"70","$0.00","1","_"
41,"play rock paper scissors with me",null,"70","$0.00","1","_"
42,"is rock paper scissors haram",null,"50","$0.00","1","_"
43,"how does rock paper scissors game work",null,"50","$0.00","1","_"
44,"when did rock paper scissors come out",null,"50","$0.00","1","_"
45,"in rock paper scissors",null,"50","$0.00","1","_"
46,"how rock paper scissors is played",null,"50","$0.00","1","_"
47,"gamepro test",null,"50","$0.00","1","_"
48,"how to play rock paper scissors with hands",null,"50","$0.00","1","_"
49,"how to play rock paper scissors with 3 people",null,"50","$0.00","1","_"
50,"who played rock paper scissors in squid game",null,"50","$0.00","1","_"
51,"is rock paper scissors copyrighted",null,"40","$0.00","1","_"
52,"when was rock paper scissors created",null,"40","$0.00","1","_"
53,"who invented rock paper scissors game",null,"40","$0.00","1","_"
54,"what's rock paper scissors minus one",null,"40","$0.00","1","_"
55,"fps game real life",null,"40","$0.00","7","_"
56,"how play rock paper scissors",null,"40","$0.00","1","_"
57,"what are the odds of rock paper scissors",null,"40","$0.00","1","_"
58,"play rock paper scissors shoot",null,"40","$0.00","1","_"
59,"what is the most common choice in rock paper scissors",null,"30","$0.00","1","_"
60,"is rock paper scissors based on martial arts",null,"30","$0.00","1","_"
61,"what's rock paper scissors",null,"30","$0.00","1","_"
62,"when is national rock paper scissors day",null,"30","$0.00","1","_"
63,"is rock paper scissors luck or skill",null,"30","$0.00","1","_"
64,"in rock paper scissors odds",null,"30","$0.00","1","_"
65,"is rock paper scissors on netflix",null,"30","$0.00","1","_"
66,"when rock paper scissors invented",null,"30","$0.00","1","_"
67,"when was rock paper scissors game invented",null,"30","$0.00","1","_"
68,"how does rock paper scissors minus one work",null,"30","$0.00","1","_"
69,"do rock paper scissors",null,"30","$0.00","1","_"
70,"who started rock paper scissors",null,"30","$0.00","1","_"
71,"does rock paper scissors have a nash equilibrium",null,"30","$0.00","1","_"
72,"what game is fps",null,"30","$0.00","1","_"
73,"popular online fps games",null,"30","$0.98","9","_"
74,"gamestar tempest rising",null,"30","$0.00","1","_"
75,"how to play rock paper scissors in japanese",null,"30","$0.00","1","_"
76,"what is the best way to play rock paper scissors",null,"30","$0.00","1","_"
77,"how to play rock paper scissors online",null,"30","$0.00","1","_"
78,"when playing rock paper scissors",null,"30","$0.00","1","_"
79,"who played rock paper scissors minus one in squid game",null,"30","$0.00","1","_"
80,"rock paper scissors vs",null,"30","$0.00","3","_"
81,"how to play rock paper scissors tag",null,"30","$0.00","1","_"
82,"what is the point of rock paper scissors",null,"30","$0.00","1","_"
83,"is rock paper scissors",null,"20","$0.00","1","_"
84,"why was rock paper scissors invented",null,"20","$0.00","1","_"
85,"what is the order of rock paper scissors",null,"20","$0.00","1","_"
86,"how many rock paper scissors combinations",null,"20","$0.00","1","_"
87,"which rock paper scissors wins the most",null,"20","$0.00","1","_"
88,"how many outcomes in rock paper scissors",null,"20","$0.00","1","_"
89,"what's rock paper scissors minus 1",null,"20","$0.00","1","_"
90,"how rock paper scissors was invented",null,"20","$0.00","1","_"
91,"is rock paper scissors universal",null,"20","$0.00","1","_"
92,"when is rock paper scissors day",null,"20","$0.00","1","_"
93,"is rock paper scissors gambling",null,"20","$0.00","1","_"
94,"why rock paper scissors",null,"20","$0.00","1","_"
95,"are rock paper scissors pokemon cards fake",null,"20","$0.00","1","_"
96,"how do rpg games work",null,"20","$0.00","1","_"
97,"play rock paper scissors with ai",null,"20","$0.00","1","_"
98,"how to play rock paper scissors step by step",null,"20","$0.00","1","_"
99,"what do you say when you play rock paper scissors",null,"20","$0.00","1","_"
100,"how to play rock paper scissors card game",null,"20","$0.00","1","_"
101,"how you play rock paper scissors",null,"20","$0.00","1","_"
102,"how to play rock paper scissors minus 1",null,"20","$0.00","1","_"
103,"how many people can play rock paper scissors",null,"20","$0.00","1","_"
104,"how rock paper scissors was made",null,"10","$0.00","1","_"
105,"why is rock paper scissors rochambeau",null,"10","$0.00","1","_"
106,"who says rock paper scissors says shoot",null,"10","$0.00","1","_"
107,"what's rock paper scissors in japanese",null,"10","$0.00","1","_"
108,"will rock paper scissors be a movie",null,"10","$0.00","1","_"
109,"when is world rock paper scissors day",null,"10","$0.00","1","_"
110,"who says paper scissors rock",null,"10","$0.00","1","_"
111,"is rock paper scissors by alice feeney a movie",null,"10","$0.00","1","_"
112,"fps online 2022",null,"10","$0.00","1","_"
113,"how many fps games",null,"10","$0.00","1","_"
114,"best fps online games for pc",null,"10","$0.00","1","_"
115,"play rock paper scissors for a collectible sims 4",null,"10","$0.00","1","_"
116,"playing rock paper scissors with the rock",null,"10","$0.00","1","_"
117,"play rock paper scissors circle k",null,"10","$0.00","1","_"
118,"rock paper scissors against the rock",null,"10","$0.00","1","_"
119,"who played rock paper scissors minus one",null,"10","$0.00","1","_"
120,"how to play human rock paper scissors",null,"10","$0.00","1","_"
121,"rock paper scissors in real life",null,"10","$0.00","1","_"
122,"how long to read rock paper scissors",null,"0","$0.00","1","_"
123,"why is it rock paper scissors shoe",null,"0","$0.00","1","_"
124,"where is rock paper scissors throat punch i win from",null,"0","$0.00","1","_"
125,"why was rock paper scissors made",null,"0","$0.00","1","_"
126,"where was rock paper scissors made",null,"0","$0.00","1","_"
127,"is rock paper scissors a kids show",null,"0","$0.00","1","_"
128,"what rock paper scissors game",null,"0","$0.00","1","_"
129,"does rock paper scissors work",null,"0","$0.00","1","_"
130,"which rock paper scissor",null,"0","$0.00","1","_"
131,"why play rock paper scissors",null,"0","$0.00","1","_"
132,"what's rock paper scissors in french",null,"0","$0.00","1","_"
133,"where is the rock paper scissors emote in clash royale",null,"0","$0.00","1","_"
134,"who voices rock paper scissors",null,"0","$0.00","1","_"
135,"will rock paper scissors have a season 2",null,"0","$0.00","1","_"
136,"why rock paper scissors shoot",null,"0","$0.00","1","_"
137,"how long is rock paper scissors audiobook",null,"0","$0.00","1","_"
138,"in rock paper scissors lizard spock",null,"0","$0.00","1","_"
139,"what's rock paper scissors in korean",null,"0","$0.00","1","_"
140,"how rock paper scissors",null,"0","$0.00","1","_"
141,"how many pages rock paper scissors",null,"0","$0.00","1","_"
142,"where is rock paper scissors streaming",null,"0","$0.00","1","_"
143,"are rock paper scissors and beautiful ugly connected",null,"0","$0.00","1","_"
144,"can you cheat rock paper scissors",null,"0","$0.00","1","_"
145,"what's rock paper scissors called",null,"0","$0.00","1","_"
146,"which wins rock paper scissors",null,"0","$0.00","1","_"
147,"how long ago was rock paper scissors invented",null,"0","$0.00","1","_"
148,"what's rock paper scissors in spanish",null,"0","$0.00","1","_"
149,"when was rock paper scissors",null,"0","$0.00","1","_"
150,"what's rock paper scissors in chinese",null,"0","$0.00","1","_"
151,"where is rock paper scissors called rochambeau",null,"0","$0.00","1","_"
152,"how do you win at rock paper scissors every time",null,"0","$0.00","1","_"
153,"what's rock paper scissors in german",null,"0","$0.00","1","_"
154,"that rock paper scissors game",null,"0","$0.00","1","_"
155,"percentage of rock paper scissors",null,"0","$0.00","1","_"
156,"what's rock paper scissors shoot",null,"0","$0.00","1","_"
157,"when did rock paper scissors come about",null,"0","$0.00","1","_"
158,"in rock paper scissors what wins",null,"0","$0.00","1","_"
159,"which rock paper scissors character are you",null,"0","$0.00","1","_"
160,"where did rock paper scissors start",null,"0","$0.00","1","_"
161,"how long is rock paper scissors",null,"0","$0.00","1","_"
162,"how long is rock paper scissors book",null,"0","$0.00","1","_"
163,"best fps free to play 2022",null,"0","$0.00","1","_"
164,"what is the rock paper scissors game online",null,"0","$0.00","1","_"
165,"best fps shooter games free",null,"0","$0.00","1","_"
166,"wie viele fps braucht man",null,"0","$0.00","1","_"
167,"rpsc games",null,"0","$0.00","1","_"
168,"who died playing rock paper scissors",null,"0","$0.00","1","_"
169,"bros are playing rock paper scissors",null,"0","$0.00","1","_"
170,"rock paper scissors handshake",null,"0","$0.00","1","_"
171,"when does percy play rock paper scissors",null,"0","$0.00","1","_"
172,"ways to play rock paper scissors",null,"0","$0.00","1","_"
173,"how long have people been playing rock paper scissors",null,"0","$0.00","1","_"
174,"how many people play rock paper scissors",null,"0","$0.00","1","_"
175,"where can i play rock paper scissors online",null,"0","$0.00","1","_"
176,"who played rock paper scissors in squid game 2",null,"0","$0.00","1","_"
177,"when can kids play rock paper scissors",null,"0","$0.00","1","_"
178,"why do i always win rock paper scissors",null,"0","$0.00","1","_"
179,"rock paper scissors if i win",null,"0","$0.00","1","_"
180,"when you re playing rock paper scissors",null,"0","$0.00","1","_"
181,"when does saitama plays rock paper scissors",null,"0","$0.00","1","_"
182,"who died playing rock paper scissors in squid game",null,"0","$0.00","1","_"
183,"play rock paper scissors minus one",null,"0","$0.00","1","_"
184,"who played rock paper scissors",null,"0","$0.00","1","_"
185,"how many countries play rock paper scissors",null,"0","$0.00","1","_"
186,"is playing rock paper scissors haram",null,"0","$0.00","1","_"
187,"how many can play rock paper scissors",null,"0","$0.00","1","_"
188,"lizards that play rock paper scissors",null,"0","$0.00","1","_"
189,"what countries play rock paper scissors",null,"0","$0.00","1","_"
190,"play rock paper scissors online with friends",null,"0","$0.00","1","_"
191,"movie where they play rock paper scissors",null,"0","$0.00","1","_"
192,"play rock paper scissors with the police girl",null,"0","$0.00","1","_"
193,"how many times do you play rock paper scissors",null,"0","$0.00","1","_"
