No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,"rock paper scissors",null,"301,000","$0.66","1","_"
2,"rps game online",null,"30","$0.00","1","_"
3,"play rock paper scissors",null,"1,000","$0.00","1","_"
4,"4.7 11 rock paper scissors",null,"550,000","$0.00","1","_"
5,"rock paper scissors paper",null,"301,000","$0.66","1","_"
6,"4.7 10 rock paper scissors",null,"110,000","$0.00","1","_"
7,"rock paper scissors book",null,"33,100","$0.35","30","_"
8,"rock paper scissors game",null,"33,100","$1.08","1","_"
9,"rock paper scissors spock",null,"18,100","$0.37","60","_"
10,"online rock paper scissors",null,"18,100","$1.00","1","_"
11,"rock paper scissors ai",null,"14,800","$0.24","1","_"
12,"ai rock paper scissors",null,"12,100","$0.59","1","_"
13,"infinite rock paper scissors",null,"12,100","$0.36","1","_"
14,"rock paper scissors infinite",null,"9,900","$0.45","1","_"
15,"rock paper scissors shoot",null,"8,100","$0.00","1","_"
16,"rock paper scissors salon",null,"8,100","$1.19","3","_"
17,"strip rock paper scissors",null,"8,100","$0.00","1","_"
18,"circle k rock paper scissors",null,"6,600","$2.64","1","_"
19,"how to do rock paper scissors",null,"6,600","$0.02","1","_"
20,"rock paper scissors nickelodeon",null,"6,600","$0.00","1","_"
21,"rock paper scissors circle k",null,"5,400","$0.00","1","_"
22,"rock paper scissors yellow dress",null,"5,400","$0.00","1","_"
23,"rock paper scissors show",null,"5,400","$0.00","1","_"
24,"walmart rock paper scissors shirt",null,"4,400","$0.00","76","_"
25,"rock paper scissors anything",null,"4,400","$0.00","1","_"
26,"walmart rock paper scissors",null,"4,400","$0.00","15","_"
27,"rock paper scissors novel",null,"3,600","$0.31","16","_"
28,"rules for rock paper scissors",null,"3,600","$0.00","1","_"
29,"how to win rock paper scissors",null,"3,600","$0.03","1","_"
30,"the legend of rock paper scissors",null,"3,600","$0.39","80","_"
31,"rock paper scissors alice feeney",null,"3,600","$0.46","39","_"
32,"rock paper scissors minus one",null,"3,600","$0.00","1","_"
33,"rock paper scissors tv series",null,"3,600","$0.00","1","_"
34,"rock paper scissors japan",null,"2,900","$0.00","1","_"
35,"rock paper scissors film",null,"2,900","$0.00","1","_"
36,"rock paper scissors ultimate",null,"2,400","$0.00","1","_"
37,"korean rock paper scissors",null,"2,400","$0.00","1","_"
38,"rock paper scissors but you can use anything",null,"2,400","$0.00","1","_"
39,"yellow dress rock paper scissors",null,"2,400","$0.00","1","_"
40,"rock paper scissors outfit",null,"2,400","$0.44","95","_"
41,"who made rock paper scissors",null,"2,400","$0.00","1","_"
42,"rock paper scissors in python",null,"1,900","$1.65","1","_"
43,"rock paper scissors shirt",null,"1,900","$0.56","100","_"
44,"rock paper scissors game anything",null,"1,900","$0.00","1","_"
45,"rock paper scissors picture",null,"1,900","$0.00","3","_"
46,"rock paper scissors simulation",null,"1,900","$0.00","1","_"
47,"rock paper scissors hair salon",null,"1,900","$1.29","3","_"
48,"rock paper scissors ann arbor",null,"1,600","$0.00","1","_"
49,"rock paper scissors update",null,"1,600","$0.00","1","_"
50,"rock paper scissors game ai",null,"1,600","$0.00","1","_"
51,"rock paper scissors tv show",null,"1,600","$0.00","1","_"
52,"how to always win at rock paper scissors",null,"1,600","$0.02","1","_"
53,"alice feeney rock paper scissors",null,"1,600","$0.37","48","_"
54,"rock paper scissors extreme",null,"1,600","$0.00","1","_"
55,"how to win rock paper scissors every time",null,"1,300","$0.00","1","_"
56,"when was rock paper scissors invented",null,"1,300","$0.00","1","_"
57,"strategy rock paper scissors",null,"1,300","$0.03","1","_"
58,"rock paper scissors cartoon",null,"1,300","$0.00","1","_"
59,"cast of rock paper scissors television show",null,"1,300","$0.00","1","_"
60,"rock paper scissors meme",null,"1,300","$0.00","1","_"
61,"mathema kitten rock paper scissors",null,"1,300","$0.00","1","_"
62,"rock paper scissors durham",null,"1,300","$2.33","4","_"
63,"rock paper scissors challenge",null,"1,300","$0.00","1","_"
64,"rock paper scissors hair studio",null,"1,300","$0.00","4","_"
65,"rock paper scissors book summary",null,"1,000","$0.19","2","_"
66,"rock paper scissors yellow dress full video",null,"1,000","$0.00","1","_"
67,"rock paper scissors big bang theory",null,"1,000","$0.00","15","_"
68,"strip rock paper scissors ghost edition",null,"1,000","$0.00","1","_"
69,"rock paper scissors 2",null,"1,000","$0.00","1","_"
70,"rock paper scissors walmart",null,"1,000","$0.00","1","_"
71,"rock paper scissors super simple songs",null,"1,000","$0.00","1","_"
72,"rock paper scissors nickelodeon season 2",null,"1,000","$0.00","1","_"
73,"rock paper scissors gif",null,"1,000","$0.00","1","_"
74,"rock paper scissors shirt walmart",null,"1,000","$0.00","28","_"
75,"rock paper scissors tournament",null,"1,000","$0.00","1","_"
76,"rock paper scissors play",null,"1,000","$0.00","1","_"
77,"rock paper scissors season 2",null,"1,000","$0.00","1","_"
78,"rock paper scissors with ai",null,"1,000","$0.56","1","_"
79,"rock paper scissors spanish",null,"880","$0.00","1","_"
80,"advanced rock paper scissors",null,"880","$0.00","1","_"
81,"nickelodeon rock paper scissors",null,"880","$0.00","1","_"
82,"rock paper scissors hair",null,"880","$0.77","12","_"
83,"how does rock paper scissors work",null,"880","$0.02","1","_"
84,"python code for rock paper scissors",null,"880","$0.00","1","_"
85,"what is rock paper scissors",null,"880","$0.00","1","_"
86,"rock paper scissors flowgorithm",null,"880","$0.00","1","_"
87,"rock paper scissors book pdf",null,"880","$2.01","1","_"
88,"legend of rock paper scissors",null,"880","$0.33","93","_"
89,"rock paper scissors clip art",null,"880","$0.00","1","_"
90,"rock paper scissors game infinite",null,"880","$0.00","1","_"
91,"rock paper scissors by alice feeney",null,"880","$0.39","11","_"
92,"let's play rock paper scissors",null,"720","$0.00","1","_"
93,"rock paper scissors video",null,"720","$0.00","1","_"
94,"squid game rock paper scissors",null,"720","$0.00","1","_"
95,"world star rock paper scissors",null,"720","$0.00","1","_"
96,"rock paper scissors icon",null,"720","$0.00","1","_"
97,"rock paper scissors barber",null,"720","$0.97","3","_"
98,"rock paper scissors shoot game",null,"720","$0.00","2","_"
99,"rock paper scissors but you can choose anything",null,"720","$0.00","1","_"
100,"rock paper scissors ai game",null,"720","$0.00","1","_"
101,"rock paper scissors 30a",null,"720","$0.00","2","_"
102,"rock paper scissors netflix",null,"720","$0.00","1","_"
103,"new rock paper scissors",null,"720","$0.00","1","_"
104,"rock paper scissors shoe",null,"720","$0.00","1","_"
105,"rock paper scissors wordle",null,"590","$0.00","1","_"
106,"rock paper scissors consignment boutique",null,"590","$0.00","2","_"
107,"french for rock paper scissors",null,"590","$0.00","1","_"
108,"gon rock paper scissors",null,"590","$0.00","1","_"
109,"rock paper scissors emoji",null,"590","$0.00","1","_"
110,"rock paper scissors song",null,"590","$0.00","1","_"
111,"rock paper scissors in chinese",null,"590","$0.00","1","_"
112,"walmart rock paper scissors costume",null,"590","$0.00","1","_"
113,"rock paper scissors card game",null,"590","$0.42","54","_"
114,"rock paper scissors magazine store",null,"590","$0.00","2","_"
115,"rock paper scissors anime",null,"590","$0.00","1","_"
116,"rock paper scissors png",null,"590","$0.00","1","_"
117,"miitopia rock paper scissors",null,"590","$0.00","1","_"
118,"rock paper scissors individual images",null,"590","$0.00","1","_"
119,"broken rock paper scissors",null,"590","$0.00","1","_"
120,"rock paper scissors melbourne",null,"590","$1.74","15","_"
121,"neal fun rock paper scissors",null,"590","$0.00","1","_"
122,"rock paper scissors cafe",null,"480","$0.00","1","_"
123,"rock paper scissors movie cast",null,"480","$0.00","1","_"
124,"next rock paper scissors ai",null,"480","$0.00","1","_"
125,"finally beat myself in rock paper scissors",null,"480","$0.00","1","_"
126,"game like rock paper scissors",null,"480","$0.00","1","_"
127,"rock paper scissors website",null,"480","$0.00","1","_"
128,"rock paper scissors squid game",null,"480","$0.00","1","_"
129,"rock paper scissors edmonton",null,"480","$0.00","1","_"
130,"rock paper scissors toy",null,"480","$0.16","99","_"
131,"rock paper scissors cast",null,"480","$0.00","1","_"
132,"rock paper scissors says shoot",null,"480","$0.00","1","_"
133,"rock paper scissors emote clash royale",null,"480","$0.00","1","_"
134,"rock paper scissors pryor",null,"480","$0.00","1","_"
135,"rock paper scissors katzenjammer",null,"480","$0.00","1","_"
136,"rock paper scissors hsr",null,"480","$0.46","4","_"
137,"rock paper scissors competition",null,"480","$0.00","1","_"
138,"rock paper scissors line dance",null,"480","$0.00","1","_"
139,"rock paper scissors nickelodeon deviantart",null,"480","$0.00","1","_"
140,"rock paper scissors gun",null,"480","$0.00","1","_"
141,"circle k rock paper scissors 2025",null,"480","$0.00","1","_"
142,"rock paper scissors book review",null,"480","$0.00","3","_"
143,"rock paper scissors yellow dress full video worldstar",null,"480","$0.00","1","_"
144,"rock paper scissors league",null,"480","$0.00","1","_"
145,"rock paper scissors generator",null,"480","$0.00","1","_"
146,"rock paper scissors spock rules",null,"480","$0.00","12","_"
147,"rock paper scissors spock big bang theory",null,"480","$0.00","39","_"
148,"sheldon rock paper scissors",null,"480","$0.00","11","_"
149,"rock paper scissors with anything",null,"480","$0.00","1","_"
150,"rock paper scissors korea",null,"480","$0.00","1","_"
151,"rock paper scissors board game",null,"480","$0.00","17","_"
152,"rock paper scissors keychain",null,"390","$0.18","89","_"
153,"new rock paper scissors update",null,"390","$0.00","1","_"
154,"extended rock paper scissors",null,"390","$0.00","1","_"
155,"rock paper scissors near me",null,"390","$0.00","1","_"
156,"rock paper scissors evolution",null,"390","$0.00","1","_"
157,"rock paper scissors minus one squid game",null,"390","$0.00","1","_"
158,"the legend of rock paper scissors book",null,"390","$0.94","18","_"
159,"rock paper scissors collective",null,"390","$0.00","1","_"
160,"rock paper scissors neal fun",null,"390","$0.00","1","_"
161,"rock paper scissors nickelodeon scissors",null,"390","$0.00","1","_"
162,"best rock paper scissors strategy",null,"390","$0.00","1","_"
163,"the legend of rock paper scissors read aloud",null,"390","$0.00","1","_"
164,"how to beat yourself in rock paper scissors",null,"390","$0.00","1","_"
165,"rock paper scissors infinity",null,"390","$0.00","1","_"
166,"infinite rock paper scissors but you can't lose",null,"390","$0.00","1","_"
167,"rock paper scissors variations",null,"390","$0.00","1","_"
168,"rock paper scissors halloween costume",null,"390","$0.00","93","_"
169,"rock paper scissors world champion",null,"390","$0.00","1","_"
170,"origin rock paper scissors",null,"390","$0.00","1","_"
171,"rock paper scissors history",null,"390","$0.00","1","_"
172,"rock paper scissors review",null,"390","$0.00","2","_"
173,"rock paper scissors tf2",null,"390","$0.00","1","_"
174,"rock paper scissors nuts",null,"390","$0.00","1","_"
175,"rock paper scissors short film",null,"390","$0.00","1","_"
176,"rock paper scissors tag",null,"390","$0.00","1","_"
177,"rock paper scissors charlottesville",null,"390","$0.00","1","_"
178,"circle k game rock paper scissors",null,"390","$0.00","4","_"
179,"rock paper scissors novel reviews",null,"390","$0.00","1","_"
180,"rock paper scissors ascii art",null,"390","$0.00","1","_"
181,"rock paper scissors german",null,"390","$0.00","1","_"
182,"rock paper scissors port melbourne",null,"390","$0.00","1","_"
183,"what is rock paper scissors minus one",null,"390","$0.00","1","_"
184,"rock paper scissors libro",null,"390","$0.10","20","_"
185,"rock paper scissors but you can't lose",null,"390","$0.00","1","_"
186,"rock paper scissors book ending",null,"390","$0.00","1","_"
187,"rock paper scissors pdf",null,"390","$0.00","1","_"
188,"rock paper scissors shoe game",null,"390","$0.00","1","_"
189,"rock paper scissors hand",null,"390","$0.00","4","_"
190,"rock paper scissors seattle",null,"390","$0.22","20","_"
191,"rock paper scissors statistics",null,"320","$0.00","1","_"
192,"rock paper scissors store",null,"320","$0.00","2","_"
193,"rock paper scissors card",null,"320","$0.00","13","_"
194,"rock paper scissors egg",null,"320","$0.00","23","_"
195,"rock paper scissors js",null,"320","$0.00","1","_"
196,"rock paper scissors aesthetics",null,"320","$0.00","1","_"
197,"rock paper scissors micro bit",null,"320","$0.00","1","_"
198,"rock paper scissors everything",null,"320","$0.00","1","_"
199,"what beat rock paper scissors",null,"320","$0.00","1","_"
200,"rock paper scissors ending explained",null,"320","$0.00","1","_"
201,"how to play rock paper scissors minus one",null,"320","$0.00","1","_"
202,"rock paper scissors sneak peek alice feeney",null,"320","$0.75","9","_"
203,"rock paper scissors chino",null,"320","$2.44","2","_"
204,"rock paper scissors series",null,"320","$0.00","1","_"
205,"yellow dress rock paper scissors video",null,"320","$0.00","1","_"
206,"rock paper scissors logo",null,"320","$0.00","2","_"
207,"rock paper scissors salon kollam",null,"320","$0.00","4","_"
208,"rock paper scissors java",null,"320","$0.00","1","_"
209,"strip rock paper scissors sega saturn",null,"320","$0.00","1","_"
210,"rock paper scissors sit on face",null,"320","$0.00","1","_"
211,"hula hoop rock paper scissors",null,"320","$0.00","1","_"
212,"rock paper scissors deviantart",null,"320","$0.00","1","_"
213,"rock paper scissors trophy",null,"320","$1.61","100","_"
214,"rock paper scissors wiscasset",null,"320","$0.00","1","_"
215,"rock paper scissors characters",null,"320","$0.00","1","_"
216,"rock paper scissors drawing",null,"320","$0.00","1","_"
217,"another name for rock paper scissors",null,"320","$0.00","1","_"
218,"where did rock paper scissors come from",null,"320","$0.00","1","_"
219,"rock paper scissors kiss",null,"320","$0.00","1","_"
220,"rock paper scissors epub",null,"320","$0.00","1","_"
221,"infinite rock paper scissors game",null,"320","$0.00","1","_"
222,"rock paper scissors duxbury",null,"320","$0.00","1","_"
223,"rock paper scissors tattoo",null,"320","$0.00","1","_"
224,"micro bit rock paper scissors",null,"320","$0.00","1","_"
225,"rock paper scissors salon and gallery",null,"260","$0.00","5","_"
226,"probability rock paper scissors",null,"260","$0.00","1","_"
227,"rock paper scissors images separate",null,"260","$0.00","1","_"
228,"rock paper scissors busby",null,"260","$0.00","1","_"
229,"rock paper scissors elf on the shelf",null,"260","$0.00","1","_"
230,"rock paper scissors wine",null,"260","$1.72","64","_"
231,"rock paper scissors 101",null,"260","$0.00","1","_"
232,"rock paper scissors online ai",null,"260","$0.00","1","_"
233,"rock paper scissors franklin",null,"260","$0.00","1","_"
234,"rock paper scissors walmart t shirt",null,"260","$0.00","20","_"
235,"rochambeau rock paper scissors",null,"260","$0.00","1","_"
236,"rock paper scissors throat punch i win",null,"260","$0.46","90","_"
237,"rock paper scissors minus 1",null,"260","$0.00","1","_"
238,"rock paper scissors with megumi",null,"260","$0.00","1","_"
239,"rock paper scissors table saw",null,"260","$0.36","92","_"
240,"how do you play rock paper scissors lizard spock",null,"260","$0.00","1","_"
241,"how to play rock paper scissors shoot",null,"260","$0.00","1","_"
242,"rock paper scissors diy costume",null,"260","$0.00","42","_"
243,"rock paper scissors google",null,"260","$0.00","1","_"
244,"rock paper scissors alice feeney summary",null,"260","$0.17","4","_"
245,"rock paper scissors relay",null,"260","$0.00","1","_"
246,"rock paper scissors wiki",null,"260","$0.00","1","_"
247,"rock paper scissors game images",null,"260","$0.00","1","_"
